fight_id,P1_id,P2_id,P1_name,P2_name,date,location,rounds_planned,P1_W,P1_L,P1_D,P2_W,P2_L,P2_D,P1_6W,P1_6L,P1_6D,P2_6W,P2_6L,P2_6D,P1_bdate,P1_stance,P1_height,P1_reach,P1_country,P2_bdate,P2_stance,P2_height,P2_reach,P2_country,P1_outcome,rounds_happened,time,referee,judge1,judge2,judge3,judge1_score,judge2_score,judge3_score,comments,P2_outcome,outcome_type,rounds_planned.1,lon,lat
14350,727,468,Alejandro Mayorga,Jorge Paez,1/1/87,"Mexicali, Baja California",10,10,2,1,10,2,1,5,1,0,5,1,0,,0,0,0,Mexico,10/27/65,orthodox,165,173,Mexico,L,10,0,0,0,0,0,0,0,0,0,L,PTS,10,-115.4522623,32.6245389
1966,14001,402,Alex Galvan,Carlos Zarate,12/13/86,"Convention Center, Fresno, California",10,61,2,0,61,2,0,6,0,0,6,0,0,4/14/62,0,0,0,USA,5/23/51,orthodox,173,170,Mexico,L,7,0,0,0,0,0,0,0,0,0,L,TKO,10,-119.7725868,36.7468422
1976,14001,766,Alex Galvan,Frank Fazio,6/12/84,"Memorial Auditorium, Sacramento, California",6,3,0,0,3,0,0,3,0,0,3,0,0,4/14/62,0,0,0,USA,11/16/63,0,0,0,USA,L,6,0,0,0,0,0,0,0,0,0,L,PTS,6,-121.4943996,38.5815719
1965,14001,2875,Alex Galvan,Adriano Arreola,2/18/87,"Coliseum, Oakland, California",10,33,13,0,33,13,0,1,5,0,1,5,0,4/14/62,0,0,0,USA,2/14/62,0,0,0,USA,W,10,0,0,0,0,0,0,0,0,0,W,PTS,10,-122.1930517,37.7567466
1964,14001,3144,Alex Galvan,Larry Villarreal,3/18/87,"Oakland, California",0,16,1,0,16,1,0,6,0,0,6,0,0,4/14/62,0,0,0,USA,10/23/64,0,0,0,USA,L,3,0,0,0,0,0,0,0,0,0,L,KO,0,-122.2711137,37.8043637
25258,3091,503,Alex Madrid,Manuel Medina,1/16/86,"El Cortez Hotel, San Diego, California",5,2,1,0,2,1,0,2,1,0,2,1,0,11/21/61,0,0,0,USA,3/30/71,orthodox,173,178,Mexico,W,4,0,Frank Rustich,0,0,0,0,0,0,Corner retirement due to a cut eye,W,TKO,5,-117.1610838,32.715738
25263,3091,2937,Alex Madrid,Ralph Gutierrez,3/28/85,"El Cortez Hotel, San Diego, California",6,2,3,0,2,3,0,2,3,0,2,3,0,11/21/61,0,0,0,USA,7/27/67,0,0,0,USA,W,6,0,Frank Rustich,Hal Rickards,Pat Russell,0,59-56,59-56,0,0,W,MD,6,-117.1610838,32.715738
25255,3091,3025,Alex Madrid,Edward Rodriquez,4/29/86,"Country Club, Reseda, California",10,12,1,0,12,1,0,6,0,0,6,0,0,11/21/61,0,0,0,USA,2/21/66,southpaw,177,0,USA,L,4,0,0,0,0,0,0,0,0,0,L,TKO,10,-118.5360517,34.2011141
3534,1894,1771,Alfred Rangel,Steve Cruz,6/14/88,"Superdome, New Orleans, Louisiana",12,28,3,0,28,3,0,4,2,0,4,2,0,1/22/67,orthodox,0,0,USA,11/2/63,0,168,0,USA,L,5,0,Charles Joseph,0,0,0,0,0,0,0,L,TKO,12,-90.0715323,29.9510658
3524,1894,988,Alfred Rangel,Troy Dorsey,6/3/91,"Caesars Palace, Las Vegas, Nevada",12,11,3,4,11,3,4,3,1,2,3,1,2,1/22/67,orthodox,0,0,USA,11/19/62,0,0,0,USA,L,1,2:37,Vic Drakulich,Dalby Shirley,Paul Weitzel,Glen Hamada,0,0,0,0,L,KO,12,-115.1737189,36.1173213
